ID_Transaccion,Fecha,Categoria,Producto,Region,Ventas,Costo,Cantidad
1001,2026-01-05,Tecnologia,Notebook Pro,Norte,1250.00,850.00,1
1002,2026-01-06,Hogar,Aspiradora Robot,Sur,350.00,210.00,1
1003,2026-01-08,Indumentaria,Campera Impermeable,Este,120.00,50.00,2
1004,2026-01-10,Tecnologia,Monitor 27",Oeste,450.00,300.00,1
1005,2026-01-12,Alimentos,Pack Organico Premium,Norte,85.00,40.00,5
1006,2026-01-15,Tecnologia,Smartphone X,Sur,900.00,650.00,1
1007,2026-01-18,Hogar,Juego de Sábanas King,Este,95.00,45.00,2
1008,2026-01-20,Indumentaria,Zapatillas Urbanas,Oeste,140.00,70.00,1
1009,2026-01-22,Tecnologia,Auriculares Inalámbricos,Norte,220.00,120.00,2
1010,2026-01-25,Alimentos,Café Especialidad 1kg,Sur,45.00,20.00,3
1011,2026-02-01,Tecnologia,Tablet 10",Este,320.00,200.00,1
1012,2026-02-03,Hogar,Set de Ollas Acero,Oeste,280.00,150.00,1
1013,2026-02-05,Indumentaria,Mochila Antirrobo,Norte,90.00,40.00,1
1014,2026-02-08,Tecnologia,Notebook Pro,Sur,1250.00,850.00,1
1015,2026-02-10,Alimentos,Aceite de Oliva Extra,Este,35.00,15.00,4
1016,2026-02-14,Tecnologia,Smartwatch Sport,Oeste,250.00,140.00,2
1017,2026-02-18,Hogar,Cafetera Express,Norte,400.00,260.00,1
1018,2026-02-20,Indumentaria,Campera Impermeable,Sur,120.00,50.00,1
1019,2026-02-24,Tecnologia,Monitor 27",Este,450.00,300.00,1
1020,2026-02-28,Alimentos,Pack Organico Premium,Oeste,85.00,40.00,3
1021,2026-03-02,Tecnologia,Smartphone X,Norte,900.00,650.00,1
1022,2026-03-05,Hogar,Aspiradora Robot,Sur,350.00,210.00,1
1023,2026-03-08,Indumentaria,Zapatillas Urbanas,Este,140.00,70.00,2
1024,2026-03-11,Tecnologia,Auriculares Inalámbricos,Oeste,220.00,120.00,1
1025,2026-03-15,Hogar,Juego de Sábanas King,Norte,95.00,45.00,3
